Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Thunderstorms,2010,6/21/2010,1:48 PM,6/22/2010,8:31 PM,Duke Energy Midwest,"Cincinnati, OH",RFC,400,"50,636","severe weather, thunderstorm"
Firm Load Shed,2010,6/7/2010,6:29 PM,6/8/2010,1:00 AM,Public Service Company of Colorado,Denver Metropolitan Area,WECC,300,"31,000",load shedding
Firm Load Shed,2010,6/1/2010,10:03 PM,6/18/2010,12:30 AM,Southern Indiana Gas and Electric Company,Southwestern Indiana,RFC,500,1,load shedding
Severe Thunderstorms,2010,4/16/2010,5:15 PM,4/18/2010,5:00 PM,Allegheny Power,Southwestern Pennsylvania,RFC,15,"120,000","severe weather, thunderstorm"
Shed Firm Load,2010,3/31/2010,11:59 PM,4/1/2010,12:55 AM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,324,"290,000",load shedding
High Winds and Rain,2010,3/13/2010,12:00 PM,3/15/2010,8:05 PM,ISO New England,Connecticut,NPCC,50,"50,246","severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,6:00 PM,3/20/2010,12:59 PM,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",RFC,100,"360,000","severe weather, wind, rain"
Winter Storm,2010,2/25/2010,11:53 PM,3/1/2010,4:40 PM,ISO New England,Southern Maine and New Hampshire,NPCC,510,"509,606","severe weather, winter storm"
Winter Storm,2010,2/5/2010,6:48 PM,2/7/2010,5:00 PM,Duke Energy Carolinas,North and South Carolina,SERC,500,"74,000","severe weather, winter storm"
Ice Storm/Electrical System Separation,2010,2/1/2010,2:32 PM,2/1/2010,5:00 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding"
Severe Storm,2010,1/19/2010,2:30 PM,1/20/2010,3:00 PM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,"2,650","50,000","severe weather, storm"
Tropical Storm Ida,2009,11/12/2009,6:45 PM,11/14/2009,4:25 AM,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm"
High Winds,2009,10/13/2009,3:45 PM,10/13/2009,5:50 PM,Sacramento Municipal Utility District,Sacramento County,WECC,90,"94,000","severe weather, wind"
Ice,2009,10/13/2009,12:48 PM,10/13/2009,2:34 PM,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,"35,500","severe weather, winter storm"
High Winds and Rain,2009,10/13/2009,4:00 PM,10/13/2009,10:30 PM,Pacific Gas and Electric,Northern California,WECC,350,"859,554","severe weather, wind, rain"
Electrical System Separation,2009,8/29/2009,10:54 PM,8/29/2009,11:53 PM,Midwest ISO,Western South Dakota,RFC,84,0,islanding
Thunderstorms,2009,8/21/2009,7:00 PM,8/22/2009,8:00 AM,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,"80,000","severe weather, thunderstorm"
Thunderstorms,2009,8/12/2009,6:25 PM,8/12/2009,10:00 AM,CenterPoint Energy,South Houston Service Area,TRE,491,"73,000","severe weather, thunderstorm"
Thunderstorms,2009,8/4/2009,1:45 PM,8/8/2009,9:00 PM,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,"63,700","severe weather, thunderstorm"
Severe Thunderstorm,2009,7/20/2009,9:50 PM,7/22/2009,7:00 PM,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,"86,058","severe weather, thunderstorm"
Thunderstorms,2009,7/18/2009,7:00 PM,7/19/2009,9:00 PM,CenterPoint Energy,Houston/Galveston Area,TRE,51,"73,000","severe weather, thunderstorm"
Electrical System Separation,2009,7/2/2009,10:44 PM,7/3/2009,1:25 AM,ISO New England,Northern Maine,NPCC,0,0,islanding
Fuel Supply Deficiency,2009,6/16/2009,11:00 PM,6/17/2009,2:00 AM,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Severe Storm,2009,6/12/2009,4:37 PM,6/12/2009,6:53 PM,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,"136,000","severe weather, storm"
Severe Thunderstorm,2009,6/12/2009,10:00 PM,6/13/2009,6:00 PM,Southern Company,Georgia,SERC,290,"102,000","severe weather, thunderstorm"
Severe Thunderstorms,2009,6/9/2009,5:25 PM,6/11/2009,5:00 AM,Baltimore Gas and Electric,Central Maryland,RFC,60,"85,091","severe weather, thunderstorm"
Electrical System Separation,2009,6/5/2009,1:38 PM,6/5/2009,8:18 PM,Pacific Gas and Electric,East of Fresno California,WECC,1,70,islanding
Severe Thunderstorm,2009,5/8/2009,1:30 PM,5/14/2009,11:20 PM,Ameren,Southern Illinois,SERC,300,"68,800","severe weather, thunderstorm"
High Winds,2009,4/27/2009,3:30 PM,4/28/2009,11:30 AM,CenterPoint Energy,Greater Houston/Galveston Area,TRE,176,"158,000","severe weather, wind"
Substation Load Interruption,2009,4/23/2009,5:54 PM,4/23/2009,7:58 PM,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000",load shedding
Transmission Tripped,2009,4/23/2009,4:25 PM,4/24/2009,12:29 AM,Puget Sound Energy,"Skagit County, Washington",WECC,244,"93,300",equipment failure
Severe Thunderstorms,2009,4/10/2009,10:00 PM,4/11/2009,2:30 AM,Southern Company,Alabama and Georgia,SERC,162,"56,679","severe weather, thunderstorm"
Unit Shut Down,2009,3/8/2009,10:16 PM,3/8/2009,11:45 PM,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,-,unknown
Made Public Appeals,2009,3/3/2009,10:00 PM,3/4/2009,8:17 PM,American Electric Power,"Roanoke, Virginia",RFC,350,0,public appeal
Winter Storm,2009,3/1/2009,10:00 PM,3/3/2009,6:00 PM,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,210,"217,000","severe weather, winter storm"
Ice/Snow Storm,2009,3/1/2009,8:54 PM,3/3/2009,4:06 PM,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","severe weather, winter storm"
Severe Weather,2009,3/1/2009,4:00 PM,3/1/2009,11:25 PM,Southern Company,Southern Balancing Area,SERC,75,"60,000",severe weather
Severe Thunderstorms,2009,2/11/2009,9:00 PM,2/12/2009,12:00 PM,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,"63,000","severe weather, thunderstorm"
Ice Storm,2009,1/27/2009,9:00 PM,1/29/2009,6:00 AM,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,"215,700","severe weather, winter storm"
Ice Storm,2009,1/27/2009,9:45 PM,1/27/2009,10:17 PM,Tennessee Valley Autbority,TVA Service Territory,SERC,850,1,"severe weather, winter storm"
Shed Load,2009,1/22/2009,4:00 PM,1/22/2009,5:05 PM,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,"9,700",load shedding
Transmission Equipment Failure,2009,1/8/2009,11:46 PM,1/9/2009,11:25 AM,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,"31,000","equipment failure, transmission interruption"
High Winds,2009,1/7/2009,5:00 PM,1/7/2009,8:05 PM,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,"70,000","severe weather, wind"
Shed Firm Load,2008,12/30/2008,4:02 PM,12/30/2008,4:37 PM,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,"9,700",load shedding
Lightning,2008,12/26/2008,6:13 PM,12/27/2008,5:00 PM,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060","294,000","severe weather, thunderstorm"
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/2008,3:30 PM,12/21/2008,9:17 AM,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,public appeal
Equipment Failure/Made Public Appeal,2008,12/10/2008,5:09 PM,12/10/2008,8:29 PM,PacifiCorp,Southern Oregon,WECC,32,3,"equipment failure, public appeal"
Lines Loss/Transmission,2008,12/9/2008,5:27 PM,12/10/2008,4:12 AM,Jersey Central Power and Light,Central New Jersey,RFC,438,"156,729",transmission interruption
Load Shedding,2008,10/2/2008,2:50 PM,10/2/2008,9:50 AM,Dow Chemical Company,Louisiana,SERC,200,0,load shedding
Electrical System Separation,2008,9/30/2008,2:02 PM,9/30/2008,2:05 PM,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,"10,000",islanding
Shed Firm Load,2008,9/22/2008,5:49 PM,9/22/2008,6:39 AM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,"43,600",load shedding
Wind Storm,2008,9/14/2008,5:00 PM,9/22/2008,5:11 PM,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,469,"564,728","severe weather, wind"
Wind Storm,2008,9/14/2008,5:00 PM,9/22/2008,3:20 AM,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,"245,164","severe weather, wind"
Wind Storm,2008,9/14/2008,5:00 PM,9/19/2008,12:38 PM,Pennsylvania Electric Company,Western Pennsylvania,RFC,72,"124,596","severe weather, wind"
Hurricane Ike,2008,9/14/2008,2:00 PM,9/17/2008,12:00 PM,Dayton Power and Light,Dayton Ohio Area,RFC,"1,000","95,000","severe weather, hurricane/tropical storm"
Tropical Depression Ike,2008,9/14/2008,7:00 PM,9/14/2008,11:59 PM,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,600,"105,000","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,8:00 PM,9/27/2008,7:00 PM,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,650,"113,247","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,6:21 PM,10/1/2008,11:59 PM,CenterPoint Energy,Greater Houston-Galveston Metro Area,TRE,"8,087","2,142,678","severe weather, hurricane/tropical storm"
Fuel Supply Deficiency,2008,9/8/2008,10:03 PM,9/9/2008,12:28 AM,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Tropical Storm Hanna,2008,9/6/2008,2:15 PM,9/6/2008,4:06 PM,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,220,"64,463","severe weather, hurricane/tropical storm"
Fuel Supply Emergency-Low Coal Inventory Levels,2008,8/22/2008,12:00 PM,8/23/2008,12:00 PM,Mirant Chalk Point LLC,-,RFC,0,0,"fuel supply emergency, coal"
Shed Firm Load,2008,8/18/2008,7:22 PM,8/19/2008,6:44 PM,Puerto Rico Electric Power Authority,North Part of Island,PR,225,"100,000",load shedding
Made Public Appeals,2008,8/15/2008,12:52 PM,8/15/2008,5:00 PM,Seattle City Light,Part of Seattle's Downtown,WECC,100,"8,000",public appeal
Declared Energy Emergency Alert 1/Made Public Appeals,2008,8/9/2008,12:00 PM,8/9/2008,8:46 PM,XCEL,Texas Panhandle and Eastern New Mexico,SPP,0,0,"fuel supply emergency, public appeal"
Severe Thunderstorms,2008,8/2/2008,8:00 PM,8/3/2008,5:30 AM,Southern Company,Georgia and Alabama,SERC,400,"131,115","severe weather, thunderstorm"
Unit Tripped,2008,7/10/2008,2:22 PM,7/10/2008,5:21 PM,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,240,-,generator trip
Heat Wave/Potential Fire Threat/Made Public Appeals,2008,7/7/2008,12:15 PM,7/10/2008,5:00 PM,California ISO,ISO Balancing Area,WECC,0,0,"severe weather, heat, public appeal"
Severe Weather,2008,7/2/2008,3:00 PM,7/6/2008,12:00 PM,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,125,"239,663",severe weather
Wild Land Fire,2008,7/2/2008,7:16 PM,7/2/2008,11:28 PM,California ISO,"Santa Barbara County, California, near Goleta",WECC,208,"200,000",wild fire
Brush Fire/Lines Loss/Transmission Emergency Declared,2008,7/2/2008,7:36 PM,7/3/2008,1:10 AM,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,119,"37,784",wild fire
Severe Wind Storm,2008,6/27/2008,4:30 PM,6/27/2008,5:30 PM,Omaha Public Power District,"Omaha, Nebraska (Metro Area)",MRO,650,"126,000","severe weather, wind"
Transmission Equipment Failure/Load Shedding,2008,6/23/2008,4:52 PM,6/23/2008,11:28 PM,Progress Energy Florida,"Pinellas County, Florida",FRCC,113,"32,593","load shedding, equipment failure"
Electrical System Separation/Severe Lightning Storms,2008,6/21/2008,3:09 PM,6/21/2008,6:53 PM,Pacific Gas and Electric Company,"Near Rogers Flat, California",WECC,3,477,"severe weather, thunderstorm, islanding"
Thunderstorms/Uncontrolled Loss of Load,2008,6/17/2008,8:40 PM,6/17/2008,11:00 PM,"Golden Spread Electric Cooperative, Inc","Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,276,"37,330","severe weather, thunderstorm, uncontrolled loss"
Electrical System Separation/Severe Thunderstorms,2008,6/17/2008,8:35 PM,6/18/2008,1:55 AM,Southwestern Public Service Company,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,560,"18,000","severe weather, thunderstorm, islanding"
Thunderstorms,2008,6/16/2008,4:15 PM,6/16/2008,11:19 PM,Dominion-Virginia Power,Northern Virginia,SERC,"800-1,000","115,000","severe weather, thunderstorm"
Electrical System Separation,2008,6/15/2008,7:06 PM,6/15/2008,8:42 PM,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,57,"9,700",islanding
Flooding and Uncontrolled Loss,2008,6/12/2008,3:30 PM,6/18/2008,4:00 PM,"Midwest ISO, ITC, ALTW",East Central Iowa,RFC,200,"21,000","severe weather, flooding, uncontrolled loss"
Uncontrolled Loss,2008,6/11/2008,1:15 PM,6/11/2008,2:05 PM,New York Independent System Operator,New York State,NPCC,200,"61,000",uncontrolled loss
Storm,2008,6/10/2008,11:00 PM,6/11/2008,9:00 AM,ISO New England,All Six New England States,NPCC,50,"60,000","severe weather, storm"
Inadequate Electric Resources to Serve Load,2008,6/10/2008,2:00 PM,6/10/2008,6:00 PM,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding
Fire/Breaker Failure,2008,6/9/2008,2:52 PM,6/9/2008,8:25 PM,Public Service Electric and Gas,"Area Around West Orange Switching Station, New Jersey",RFC,215,"75,654",equipment failure
Indequate Electric Resources to Serve Load,2008,6/9/2008,2:00 PM,6/9/2008,7:00 PM,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding
Severe Storm,2008,6/8/2008,6:00 PM,6/16/2008,11:30 PM,Detroit Edison Company-DTE,Southwestern Michigan (DECO Service Territory),RFC,500,"150,000","severe weather, storm"
Lightning Storm,2008,6/6/2008,3:18 PM,6/12/2008,8:00 AM,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,100,"358,000","severe weather, thunderstorm"
Thunderstorms,2008,6/4/2008,3:04 PM,6/5/2008,9:30 PM,Dominion-Virginia Power,Northern Virginia,SERC,850,"253,800","severe weather, thunderstorm"
Load Shedding/Voltage Reduction,2008,6/4/2008,3:14 PM,6/4/2008,3:46 p..m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,90,"100,948","load shedding, voltage reduction"
Severe Weather,2008,6/3/2008,5:00 PM,6/7/2008,11:00 PM,Allegheny Power,"Maryland, West Virginia, Virginia",RFC,634,"157,168",severe weather
Lightning Storm,2008,5/27/2008,2:02 PM,5/27/2008,3:52 PM,ISO New England,South West Connecticut,NPCC,130,"56,400","severe weather, thunderstorm"
Electric System Separation,2008,5/11/2008,4:50 PM,5/11/2008,8:43 PM,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,47,"9,700",islanding
Major Storm,2008,3/15/2008,8:55 PM,3/16/2008,8:30 PM,Southern Company,Parts of Alabama and Georgia,SERC,200,"157,744","severe weather, storm"
Windstorm,2008,3/8/2008,2:14 PM,3/8/2008,9:59 PM,Dominion-Virginia Power,Virginia and Eastern Part of North Carolina,SERC,210,"141,130","severe weather, wind"
Thunderstorms,2008,3/4/2008,9:30 PM,3/4/2008,10:45 PM,Duke Energy Carolinas,North and South Carolina,SERC,300,"55,267","severe weather, thunderstorm"
Transmission Equipment Failure,2008,2/26/2008,1:09 PM,2/26/2008,4:11 PM,Florida Power and Light,Primary Dade County Florida,FRCC,"3,200","584,384","equipment failure, transmission interruption"
Under Frequency/Load Shedding,2008,2/26/2008,1:10 PM,2/26/2008,3:45 PM,Progress Energy Florida,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,500,"150,000",load shedding
Under Frequency/Load Shedding,2008,2/26/2008,1:09 PM,2/26/2008,2:40 PM,Tampa Electric Company,Tampa Electric Service Territory,FRCC,318,"53,965",load shedding
Under Frequency/Load Shedding,2008,2/26/2008,1:09 PM,2/26/2008,2:10 PM,Florida Municipal Power Agency,Various Cities in Florida,FRCC,140,"47,661",load shedding
Shed Firm Load,2008,2/26/2008,1:09 PM,2/26/2008,1:47 PM,Seminole Electric Cooperative,FRCC Region-West Coast Florida,FRCC,120,"56,000",load shedding
Electrical System Separation,2008,2/15/2008,3:06 PM,2/15/2008,7:36 PM,Pacific Gas and Electric Company,"Antioch, California",WECC,10,"10,008",islanding
Ice Storm,2008,2/13/2008,6:43 PM,2/14/2008,12:00 PM,ISO New England,State of Maine,NPCC,50,"50,462","severe weather, winter storm"
High Winds,2008,2/10/2008,6:02 PM,2/11/2008,4:00 AM,Duke Energy Carolinas,"Greenboro, North Carolina and I-40 Corridor",SERC,300,"50,718","severe weather, wind"
High Winds,2008,2/10/2008,2:06 PM,2/10/2008,11:36 PM,Dominion-Virginia Power,Dominion Service Territory,SERC,170,"114,618","severe weather, wind"
High Winds,2008,1/29/2008,11:23 PM,1/30/2008,12:48 AM,Dayton Power and Light,"South Metropolitan Areas of Dayton, OHio",RFC,380,"45,000","severe weather, wind"
Voltage Reduction,2007,12/11/2007,8:57 PM,12/11/2007,9:22 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,0,0,voltage reduction
Voltage Reduction,2007,12/4/2007,2:16 PM,12/4/2007,5:53 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,0,0,voltage reduction
Voltage Reduction/Made Public Appeal/Fuel Deficiency,2007,12/1/2007,6:04 PM,12/2/2007,10:00 PM,ISO New England,State of Maine,NPCC,0,0,"fuel supply emergency, public appeal, voltage reduction"
Tropical Storm,2007,11/3/2007,6:00 PM,11/4/2007,6:00 AM,ISO New England,"Eastern Massachusetts, Rhode Island, Cape Cod",NPCC,100,"62,843","severe weather, hurricane/tropical storm"
Brush Fire/Load Shedding,2007,10/22/2007,2:06 PM,10/22/2007,2:43 PM,San Diego Gas and Electric Company,"San Diego County, California",WECC,199,"68,780","wild fire, load shedding"
Brush Fire/Load Shedding,2007,10/22/2007,2:05 PM,10/22/2007,2:22 PM,California Independent System Operator,Southern California,WECC,700,"300,000","wild fire, load shedding"
Brush Fire/Load Shedding/Implemented Emergency Alert,2007,10/22/2007,2:01 PM,10/22/2007,2:22 PM,Southern California Edison Company,Southern California,WECC,451,"90,323","wild fire, load shedding"
Electrical System Separation,2007,9/17/2007,7:01 PM,9/17/2007,7:48 PM,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,50,"9,600",islanding
Shed Load,2007,8/29/2007,1:53 PM,8/29/2007,2:57 PM,Modesto Irrigation District,Modesto California and the Surrounding Areas,WECC,180,"26,000",load shedding
Severe Thunderstorms,2007,8/19/2007,11:34 PM,8/20/2007,1:10 AM,Dominion Virginia Power,Central and Eastern Virginia,SERC,100,"58,500","severe weather, thunderstorm"
Severe Weather,2007,8/16/2007,9:30 PM,8/17/2007,10:49 PM,Dominion Virginia Power,Virginia and Eastern North Carolina - Primarily in Central Virginia,SERC,200,"93,300",severe weather
Declared Energy Emergency Alert2/Heat Wave,2007,8/14/2007,2:00 PM,8/14/2007,6:00 PM,American Electric Power (CSWS),"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",SPP,20,-,"severe weather, heat"
Severe Thunderstorms,2007,8/9/2007,2:53 PM,8/9/2007,4:11 PM,Duquesne Light Company,"Highland Area of Pittsburgh, Pennsylvania",RFC,90,"55,000","severe weather, thunderstorm"
Major Storm,2007,7/19/2007,3:00 PM,7/22/2007,11:30 PM,DTE Energy  (Detroit Edison),Southwestern Region of Service Territory,RFC,-,"60,000","severe weather, storm"
Major Storms,2007,7/19/2007,3:50 PM,7/19/2007,10:15 PM,Dominion - Virginia Power/North Carolina Power,"North, East and Central Virginia",SERC,72,"107,000","severe weather, storm"
Severe Weather,2007,7/18/2007,6:00 PM,7/19/2007,2:00 AM,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,300,"135,000",severe weather
Fire/Load Shedding,2007,7/16/2007,4:17 PM,7/16/2007,9:00 PM,PacifiCorp,"St. George, Utah",WECC,306,-,"wild fire, load shedding"
Electrical Separation/Load Shedding/Made Public Appeal,2007,7/6/2007,5:18 PM,7/6/2007,6:20 PM,Idaho Power Company,Southeast Idaho and Eastern Oregon,WECC,60,0,"islanding, load shedding, public appeal"
Severe Storm,2007,7/5/2007,7:00 PM,7/8/2007,7:00 AM,DTE Energy  (Detroit Edison),Southeastern Michigan,RFC,-,"69,000","severe weather, storm"
Loss of Load,2007,6/27/2007,3:42 PM,6/27/2007,4:30 PM,New York Independent System Operator,New York State,NPCC,460,-,load shedding
Lightning,2007,6/27/2007,3:41 PM,6/27/2007,4:30 PM,Consolidated Edison of NY Inc,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",NPCC,460,"137,000","severe weather, thunderstorm"
Unit Tripped,2007,5/21/2007,1:48 PM,5/21/2007,4:50 PM,Crockett Cogeneraton,"San Franscisco Bay Area, California",WECC,140,-,generator trip
Severe Storm,2007,5/16/2007,6:00 PM,5/19/2007,5:00 AM,Northeast Utilities,All of Connecticut,NPCC,-,"67,000","severe weather, storm"
Severe Thunderstorms,2007,5/15/2007,3:00 PM,5/17/2007,7:00 AM,DTE Energy (Detroit Edison),Southeastern Michigan,RFC,500,"66,000","severe weather, thunderstorm"
Severe Storms,2007,5/2/2007,1:30 PM,5/3/2007,8:00 PM,Oncor Electric Delivery Company,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",ERCOT,-,"300,000","severe weather, storm"
High Winds,2007,4/16/2007,2:04 PM,4/16/2007,7:03 PM,Dominion - Virginia Power/North Carolina,"North, East and Central Virginia/Parts of Northeast North Carolina",SERC,90,"242,000","severe weather, wind"
Severe Thunderstorms,2007,4/16/2007,2:00 PM,4/18/2007,5:00 PM,Baltimore Gas and Electric Company,Central Maryland - Baltimore City and surrounding Counties,RFC,160,"138,000","severe weather, thunderstorm"
Heavy Snow Storm,2007,4/5/2007,9:20 PM,4/6/2007,1:10 PM,Central Maine Power Company,Southern and Coastal Maine,NPCC,-,"117,142","severe weather, winter storm"
Major Storm,2007,3/1/2007,9:40 PM,3/2/2007,11:30 PM,Southern Company,"Parts of Alabama, Mississippi, Georgia, Florida",SERC,95,"25,445","severe weather, storm"
Ice Storm,2007,2/24/2007,4:00 PM,3/4/2007,12:57 AM,MidAmerican Energy Company,"NE quarter of State of Iowa and Rock Island, Illinois",MRO,210,"75,000","severe weather, winter storm"
Ice Storm,2007,2/24/2007,7:23 PM,2/25/2007,12:47 AM,Midwest ISO,"Cedar Rapids, Iowa",RFC,750,"215,000","severe weather, winter storm"
Ice Storm,2007,2/24/2007,6:00 PM,2/24/2007,11:47 PM,Alliant Energy,Central Iowa and Cedar Rapids areas,MRO,400,"140,000","severe weather, winter storm"
Winter Storm,2007,2/13/2007,5:00 PM,2/17/2007,5:30 AM,Baltimore Gas and Electric Company,Central Maryland,RFC,400,"155,183","severe weather, winter storm"
Ice/Wind Storm,2007,2/13/2007,2:00 PM,2/16/2007,12:00 AM,Duke Energy Midwest,Indiana and Southwest Ohio,RFC,250,"367,500","severe weather, winter storm"
Severe Weather,2006,12/30/2006,10:25 PM,1/6/2006,2:25 PM,Nebraska Public Power District,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",MRO,300-500,"15,000",severe weather
Main Power Transformer Failure/Voltage Reduction/Fire,2006,12/29/2006,4:25 PM,12/31/2006,6:59 PM,Puerto Rico Electric Power Authority,North Part of the Island,PR,50,"18,386","wild fire, equipment failure, voltage reduction"
Transmission Equipment/Fire,2006,12/16/2006,7:30 PM,12/17/2006,1:00 AM,Portland General Electric,"Oregon Counties:  Washington, Yamhill",WECC,350,"84,500","wild fire, transmission interruption"
High Winds,2006,12/14/2006,5:00 PM,12/16/2006,4:00 PM,Tacoma Power,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",WECC,280,"75,000","severe weather, wind"
Wind/Snow Storm,2006,11/26/2006,1:00 PM,12/2/2006,6:00 PM,Snohomish County PUD #1,"Snohomish County, Washington",WECC,180,"63,992","severe weather, winter storm"
Severe Weather,2006,11/15/2006,3:00 PM,11/15/2006,5:00 PM,Southern Company,Georgia,SERC,363,"109,000",severe weather
High Winds,2006,11/15/2006,1:00 PM,11/19/2006,2:35 AM,Puget Sound Energy,"Whatcom and Skagit Counties, Washington",WECC,50,"50,000","severe weather, wind"
Snow Storm,2006,10/12/2006,5:48 PM,10/23/2006,12:00 AM,Niagara Mohawk Power Corporation,Western New York State,NPCC,600,"250,000","severe weather, winter storm"
Snow Storm,2006,10/12/2006,8:00 PM,10/21/2006,11:00 PM,New York State Electric and Gas,Western New York State,NPCC,353,"120,000","severe weather, winter storm"
Shed Firm Load,2006,10/2/2006,3:05 PM,10/2/2006,8:39 PM,Southern California Edison Company,"Newhall, San Frenando, Saugus, and Santa Clarita, California",WECC,308,"130,000",load shedding
Severe Thunderstorms,2006,9/28/2006,8:08 PM,9/28/2006,10:10 PM,Dominion - Virginia Power/North Carolina Power,"North, Central and Eastern Virginia and Northern North Carolina",SERC,84,"56,500","severe weather, thunderstorm"
Tropical Storm Ernesto,2006,9/1/2006,8:00 PM,9/4/2006,5:00 PM,Atlantic City Electric,Southern New Jersey Counties,RFC,400,"100,000","severe weather, hurricane/tropical storm"
Shed Firm Load/Reduced Voltage,2006,8/24/2006,9:58 PM,8/24/2006,11:25 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,180,"106,000","load shedding, voltage reduction"
Severe Thunderstorm,2006,8/10/2006,8:00 PM,8/12/2006,12:00 PM,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,80 to 100,"65,000","severe weather, thunderstorm"
Made Public Appeals,2006,8/7/2006,1:00 PM,8/7/2006,6:00 PM,American Electric Power,"Tulsa, Oklahoma",RFC,75,Major Industrial Customer Load Reduction,public appeal
Shed Firm Load,2006,8/3/2006,2:16 PM,8/3/2006,2:46 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,369,"227,480",load shedding
Severe Thunderstorms,2006,8/2/2006,7:00 PM,8/3/2006,1:00 AM,National Grid,New England,NPCC,100-140,"77,000","severe weather, thunderstorm"
